decode_group,title,sku,sku_prefix,mpn_barcode,product_type,tags,partial_signal,why_ambiguous,body_excerpt,storefront_link,real_manufacturer
D · descriptive title only,"Solid steel shelving, starter set",,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,These rugged and dependable T-Bolt™ shelving units deliver real supporting strength for all types of storage uses. Quality shelving for heavy-duty storage solut,https://www.brantbusinessinteriors.com/products/solid-steel-shelving-starter-set,
D · descriptive title only,"Sonic armchair, polypropylene seat & back (6513) — 6513",,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Sonic is ideal for meeting rooms, office guest seating, food facilities, lecture halls, and just about anywhere. Dimensions: W23 x D21.5 x H33 IN.",https://www.brantbusinessinteriors.com/products/sonic-armchair-polypropylene-seat-back-6513,
D · descriptive title only,The halifax collection,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Variety Choose from two unique leg options: A-Leg and V-Leg Seamless height-adjustable table integration Metal features available in 20 colours Design High desi,https://www.brantbusinessinteriors.com/products/the-halifax-collection,
D · descriptive title only,Ultra guest chair,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,MVL11743 Ultra | Armless Medium Back Guest Chair Cantilever style base Welded steel frame with Chrome finish Armless Upholstered in LuxPlus vinyl,https://www.brantbusinessinteriors.com/products/ultra-guest-chair,
D · descriptive title only,Ultra | Armless High Back Tilter Black,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. He,https://www.brantbusinessinteriors.com/products/ultra-armless-high-back-tilter-black,
D · descriptive title only,Unisource PromeltSlice Ice Melting Compound - Crystal - 20 kg,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. He,https://www.brantbusinessinteriors.com/products/unisource-promeltslice-ice-melting-compound-crystal-20-kg,
D · descriptive title only,Wave | High Back Synchro-Tilter,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Built for professionals who spend long hours at their desk, Wave combines dynamic support with modern design. Featuring a breathable mesh back and many adjustme",https://www.brantbusinessinteriors.com/products/wave-high-back-synchro-tilter,
E · SCN — NEEDS SUPPLIER INVOICE,"Deep hi-boy storage cabinet 72"" h x 36"" w x 24"" d — 24""",SCN-FJ883,SCN,,,oecm-eligible,prefix=SCN,"SKU prefix SCN = lockers / recycled-plastic site furnishings; this is a distributor/category code, not a single OEM. Maps to multiple possible manufacturers — NEEDS SUPPLIER INVOICE to confirm.","Description 4 Fully adjustable shelves Includes recessed handle and cylinder lock Suitable for office, plant, school or institutional storage needs 72""x24""x36""W",https://www.brantbusinessinteriors.com/products/deep-hi-boy-storage-cabinet-72-h-x-36-w-x-24-d,https://www.scnindustrial.com/
E · SCN — NEEDS SUPPLIER INVOICE,"Jumbo storage cabinet assembled 72"" h x48""w x 24"" d — 24""",SCN-FL786,SCN,,,oecm-eligible,prefix=SCN,"SKU prefix SCN = lockers / recycled-plastic site furnishings; this is a distributor/category code, not a single OEM. Maps to multiple possible manufacturers — NEEDS SUPPLIER INVOICE to confirm.","Extra Wide Hi-Boy Storage Cabinet Steel 4 Shelves 72"" H x 48"" W x 24"" D, Grey 3 Point Locking System Arrives Assembled",https://www.brantbusinessinteriors.com/products/jumbo-storage-cabinet-assembled-72-h-x48w-x-24-d,https://www.scnindustrial.com/
E · SCN — NEEDS SUPPLIER INVOICE,"Lockerettes, 6 -tier, bank of 3, 36"" x 18"" x 72"", steel, grey, rivet (assembled) — 36"" x 18"" x 72""",SCN-FJ173,SCN,,,oecm-eligible,prefix=SCN,"SKU prefix SCN = lockers / recycled-plastic site furnishings; this is a distributor/category code, not a single OEM. Maps to multiple possible manufacturers — NEEDS SUPPLIER INVOICE to confirm.","Clean Line™ Lockerettes, 6 -tier, Bank of 2, 24"" x 18"" x 72"", Steel, Grey, Rivet (Assembled) Description Prime grade cold rolled steel locker All welded frame a",https://www.brantbusinessinteriors.com/products/lockerettes-6-tier-bank-of-3-36-x-18-x-72-steel-grey-rivet-assembled,https://www.scnindustrial.com/
E · SCN — NEEDS SUPPLIER INVOICE,Lockers 2 tier (assembled),SCN-FL396,SCN,,,oecm-eligible,prefix=SCN,"SKU prefix SCN = lockers / recycled-plastic site furnishings; this is a distributor/category code, not a single OEM. Maps to multiple possible manufacturers — NEEDS SUPPLIER INVOICE to confirm.","2 Overall Depth 18"" Overall Height 76"" Overall Width Single 12"", Double 24"", Triple 36"", Quad 48""",https://www.brantbusinessinteriors.com/products/lockers-2-tier-assembled,https://www.scnindustrial.com/
E · SCN — NEEDS SUPPLIER INVOICE,Lockers 2-tier,SCN-FN478,SCN,,,oecm-eligible,prefix=SCN,"SKU prefix SCN = lockers / recycled-plastic site furnishings; this is a distributor/category code, not a single OEM. Maps to multiple possible manufacturers — NEEDS SUPPLIER INVOICE to confirm.","Description Keep your workplace tidy while also providing secure storage for personal items. Available in both knocked down and assembled models, lockers featur",https://www.brantbusinessinteriors.com/products/lockers-2-tier,https://www.scnindustrial.com/
E · SCN — NEEDS SUPPLIER INVOICE,Lockers single tier (assembled),SCN-FJ151,SCN,,,oecm-eligible,prefix=SCN,"SKU prefix SCN = lockers / recycled-plastic site furnishings; this is a distributor/category code, not a single OEM. Maps to multiple possible manufacturers — NEEDS SUPPLIER INVOICE to confirm.","1 Overall Depth 18"" Overall Height 72"" Overall Width 36""",https://www.brantbusinessinteriors.com/products/lockers-single-tier-assembled,https://www.scnindustrial.com/
E · SCN — NEEDS SUPPLIER INVOICE,Recycled plastic picnic tables,scn-nd426,SCN,,,oecm-eligible,prefix=SCN,"SKU prefix SCN = lockers / recycled-plastic site furnishings; this is a distributor/category code, not a single OEM. Maps to multiple possible manufacturers — NEEDS SUPPLIER INVOICE to confirm.","Description 100% recycled plastic Guaranteed not to rust or crack, eliminating the need for component replacement Mold-in colour feature means no painting is ev",https://www.brantbusinessinteriors.com/products/recycled-plastic-picnic-tables,https://www.scnindustrial.com/
"F · true unknown (no SKU, generic title)",Coat tree,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Coordinating coat trees come in three styles, all with stabilizing levelling glides.",https://www.brantbusinessinteriors.com/products/coat-tree,
"F · true unknown (no SKU, generic title)",Colour,,(none),,Avis-add-charge,bestseller; exclude:business-furniture,type=Avis-add-charge,no SKU on any variant; no brand tag (only category/oecm tags); no manufacturer name in title/body.,,https://www.brantbusinessinteriors.com/products/colour,
"F · true unknown (no SKU, generic title)",Desk l-shape with drawers,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"NEWLAND | ""L"" SHAPED DESK WITH PEDESTAL - 66""W X 66""D Newland - simple and modular components combining classic design, quality and value to support a wide rang",https://www.brantbusinessinteriors.com/products/desk-l-shape-with-drawers,
"F · true unknown (no SKU, generic title)",Diet,,(none),,,exclude:business-furniture,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Diet Create any size, any colour Made in Canada Disregard Pricing.",https://www.brantbusinessinteriors.com/products/diet,
"F · true unknown (no SKU, generic title)",Keys 2/set,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Keys for Global Cabinets Custom order: Non Returnable Key Shape may differ,https://www.brantbusinessinteriors.com/products/keys-2-set,
"F · true unknown (no SKU, generic title)",Monitor arms,,(none),,Avis-add-charge,oecm-eligible,type=Avis-add-charge,no SKU on any variant; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Single-monitor articulating arm that frees up desk space and supports ergonomic screen positioning. Fits most VESA-compatible displays up to standard office mon,https://www.brantbusinessinteriors.com/products/monitor-arms,
"F · true unknown (no SKU, generic title)",Workstation U Shape,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. He,https://www.brantbusinessinteriors.com/products/workstation-u-shape,
