handle,product_id,current_title,vendor,category,price,tier,action_default,oecm_eligible,current_desc_chars,current_desc_preview,enrich_action,draft_meta_title,draft_meta_title_chars,draft_meta_desc,draft_meta_desc_chars,draft_body_html,steve_approve,steve_notes
amigo-mesh-chair-otg10900blk,9766192775481,Amigo mesh chair — OTG10900BLK,Brant Business Interiors,chairs,179.99,A,keep,yes,1418,Enhance your workspace with the LB Air-Flow Mesh Tilter Chair in sleek black. This low-back chair offers ultimate comfor,seo-only,Amigo mesh chair | Brant Business Interiors,43,"Shop the Amigo mesh chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-835-...",155,,,
ashmont-medium-back-management-tilter-mvl2781,9771597070649,Ashmont | medium back management tilter — MVL2781,Brant Business Interiors,chairs,479.99,A,keep,yes,389,"MVL2781   Ashmont | Medium Back Management Tilter     Medium back tilter   Deep, soft cushions on seat and back   Height",seo-only,Ashmont | medium back management | Brant Business Interiors,59,"Shop the Ashmont | medium back management tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-el...",155,,,
avro-350m-heavy-duty-multi-tilter-chairs-mvl11716,9776142713145,Avro 350M heavy duty multi-tilter chairs — MVL11716,Brant Business Interiors,chairs,699.99,A,keep,yes,420,• Pneumatic seat height adjustment • Seat depth adjustment • Independent seat and back angle adjustment • Infinite posit,seo-only,Avro 350M heavy duty multi-tilter | Brant Business Interiors,60,"Shop the Avro 350M heavy duty multi-tilter chairs at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-e...",155,,,
basics-comfort-time-ultra-multi-tilter-big-tall-chair,9768077066553,Basics comfort-time ultra multi-tilter big & tall chair,Brant Business Interiors,chairs,599.99,A,keep,yes,364,• Specifically intended for users of above average height and/or weight • Pneumatic seat height adjustment • Seat height,seo-only,Basics comfort-time ultra multi-t | Brant Business Interiors,60,"Shop the Basics comfort-time ultra multi-tilter big & tall chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & insti...",155,,,
basics-ergo-boss-executie-back-multi-tilter-chairs-bao28703,9666750054713,Basics ergo boss executie back multi-tilter chairs — BAO28703,Global Furniture Group,chairs,749.99,A,keep,yes,839,"Chair is made with Fusion Fabric, offering a stylish and comfortable addition to any home or office   Multi-tilt feature",seo-only,Basics ergo boss executie back mu | Brant Business Interiors,60,"Shop the Basics ergo boss executie back multi-tilter chairs at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutio...",155,,,
basics-obusforme-elite-heavy-duty-multi-tilter-chair-ts2770-3-1,9776141041977,ObusForme Basics elite heavy duty multi-tilter chair — TS2770-3,ObusForme,chairs,899.99,A,keep,yes,358,Basics® ObusForme® Elite Heavy Duty Multi-Tilter Chairs • Contoured seat • Soft Descent™ pneumatic seat height adjustmen,seo-only,ObusForme Basics elite heavy duty | Brant Business Interiors,60,"Shop the ObusForme Basics elite heavy duty multi-tilter chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institut...",155,,,
bolt-mesh-back-tilter-otg11510b,9708349915449,Bolt | mesh back tilter — OTG11510B,Brant Business Interiors,chairs,289.99,A,keep,yes,378,"Bolt | Mesh Back Tilter     Tilter mechanism   Breathable mesh back, upholstered seat   Upright position tilt-lock   Til",seo-only,Bolt | mesh back tilter | Brant Business Interiors,50,"Shop the Bolt | mesh back tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-8...",155,,,
chair-black-steel-frame-3,9103181316409,Chair - black steel frame,Brant Business Interiors,chairs,357.0,A,keep,yes,448,Item Code: GLBOTG11340       Multi-purpose guest/nesting chairs feature a flip up seat allowing chairs to stack horizont,seo-only,Chair - black steel frame | Brant Business Interiors,52,"Shop the Chair - black steel frame at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1...",155,,,
cobalt-medium-back-tilter-mvl2785,9778281251129,Cobalt | medium back tilter — MVL2785,Brant Business Interiors,chairs,299.99,A,keep,yes,355,MVL2785   Cobalt | Medium Back Tilter     Tilter mechanism   Height adjustable T-arms with durable self-skinned urethane,seo-only,Cobalt | medium back tilter | Brant Business Interiors,54,"Shop the Cobalt | medium back tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call...",155,,,
drift-seating,9701172412729,Drift seating,Brant Business Interiors,chairs,1499.0,A,keep,yes,845,Drift™         Change is the constant that each new generation brings to the table. Drift™ seating encourages people to ,seo-only,Drift seating | Brant Business Interiors,40,"Shop the Drift seating at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-835-9565.",154,,,
elora-multi-tilter-high-back-chair-black-baomvl1893,9666755526969,Elora multi-tilter high back chair black — BAOMVL1893,Brant Business Interiors,chairs,599.99,A,keep,yes,860,Multi-tilt feature makes the chair versatile and suitable for any setting   Task Chair is perfect for creating a welcomi,seo-only,Elora multi-tilter high back chai | Brant Business Interiors,60,"Shop the Elora multi-tilter high back chair black at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-e...",155,,,
extended-high-back-tilter-otg11359-carleton,9766190809401,Extended high back tilter OTG11359 carleton,Brant Business Interiors,chairs,319.99,A,keep,yes,550,OTG11359       Carleton | Extended High Back Tilter     ​​​​​​A classic looking management chair with modern ergonomic f,seo-only,Extended high back tilter OTG1135 | Brant Business Interiors,60,"Shop the Extended high back tilter OTG11359 carleton at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OEC...",155,,,
extended-high-back-wide-deep-seat-multi-tilt-bao27513,9816405115193,Extended high back wide & deep seat multi tilt — BAO27513,Brant Business Interiors,chairs,824.98,A,keep,yes,535,"High Back Leather, Luxhide     Task chairs feature a sleek and functional design, providing easy maneuverability and adj",seo-only,Extended high back wide & deep se | Brant Business Interiors,60,"Shop the Extended high back wide & deep seat multi tilt at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. ...",155,,,
finch-armless-stacking-armchair-mvl11704,9982117806393,Finch | armless stacking armchair — MVL11704,Brant Business Interiors,chairs,179.99,A,keep,yes,625,MVL11704       Finch | Armless Stacking Armchair       Oval tube steel frame available in monochromatic Black only.   Mo,seo-only,Finch | armless stacking armchair | Brant Business Interiors,60,"Shop the Finch | armless stacking armchair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible...",155,,,
format-high-back-weight-sensing-synchro-tilter-mesh-seat-and-back-mvl3197-copy,9771381686585,"Format+ | high back weight sensing synchro-tilter, mesh seat and back",Global Furniture Group,chairs,469.99,A,keep,yes,1416,Designed for the modern workspace     Format+™ is an ergonomic chair that combines advanced adjustability with exception,seo-only,Format+ | high back weight sensin | Brant Business Interiors,60,"Shop the Format+ | high back weight sensing synchro-tilter, mesh seat and back at Brant Business Interiors — quality task seating for Ontario offices, c...",155,,,
full-time-chair-mvl2900,9706964681017,Full time chair — MVL2900,Brant Business Interiors,chairs,389.95,A,keep,yes,728,MVL2900       Full-Time | Medium Back Multi-Tilter     Experience maximum comfort and support with Full-Time chair – des,seo-only,Full time chair | Brant Business Interiors,42,"Shop the Full time chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-835-9...",155,,,
global-accord-back-knee-tilter-chair-1,9639652557113,Global Accord back knee tilter chair,Global Furniture Group,chairs,769.99,A,keep,yes,788,This award-winning series features classic styling with a finely detailed polished aluminum arm.     The sling style bac,seo-only,Global Accord back knee tilter ch | Brant Business Interiors,60,"Shop the Global Accord back knee tilter chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligi...",155,,,
global-accord-mesh-back-tilter,9965349372217,Global Accord mesh back tilter,Global Furniture Group,chairs,749.99,A,keep,yes,795,his award-winning series features classic styling with a finely detailed polished aluminum arm.     The sling style back,seo-only,Global Accord mesh back tilter | Brant Business Interiors,57,"Shop the Global Accord mesh back tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. C...",155,,,
global-obusforme-elite-multi-tilter-chair-high-back,9666747924793,ObusForme Global elite multi-tilter chair high back,Global Furniture Group,chairs,689.99,A,keep,yes,309,The streamlined design of the task chair enhances any environment with a modern touch   Adjustable arms allow for custom,seo-only,ObusForme Global elite multi-tilt | Brant Business Interiors,60,"Shop the ObusForme Global elite multi-tilter chair high back at Brant Business Interiors — quality task seating for Ontario offices, clinics & instituti...",155,,,
ibex-mesh-back-drafting-stool-task-chair-with-arms,9666389082425,Ibex mesh back drafting stool task chair with arms,Global Furniture Group,chairs,499.99,A,keep,yes,817,MVL2808       Ibex | Upholstered Seat & Mesh Back Drafting Task Chair with Arms     Elevate your office experience with ,seo-only,Ibex mesh back drafting stool tas | Brant Business Interiors,60,"Shop the Ibex mesh back drafting stool task chair with arms at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutio...",155,,,
ibex-mesh-seat-back-armless-drafting-chair-mvl2827,10100370112825,Ibex | mesh seat & back armless drafting chair — MVL2827,Global Furniture Group,chairs,529.99,A,keep,yes,600,"Elevate your office experience with our Ibex chair, meticulously designed to provide unparalleled support and style. Unl",seo-only,Ibex | mesh seat & back armless d | Brant Business Interiors,60,"Shop the Ibex | mesh seat & back armless drafting chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. ...",155,,,
ibex-upholstered-seat-back-guest-chair-mvl2819-1,9782586507577,Ibex | upholstered seat & back guest chair — MVL2819,Global Furniture Group,chairs,353.87,A,keep,yes,580,"MVL2819       Ibex | Upholstered Seat & Back Guest Chair     Elevate your office experience with Ibex chair, meticulousl",seo-only,Ibex | upholstered seat & back gu | Brant Business Interiors,60,"Shop the Ibex | upholstered seat & back guest chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM...",155,,,
ibex-upholstered-seat-mesh-back-tilter-chair-mvl2801,9686790209849,Ibex upholstered seat & mesh back tilter chair — MVL2804,Global Furniture Group,chairs,379.99,A,keep,yes,988,"Ibex | Upholstered Seat & Mesh Back Tilter     Elevate your office experience with Ibex chair, meticulously designed to ",seo-only,Ibex upholstered seat & mesh back | Brant Business Interiors,60,"Shop the Ibex upholstered seat & mesh back tilter chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. ...",155,,,
kneeling-chair-kcm1420,9847222403385,Kneeling chair — KCM1420,Brant Business Interiors,chairs,179.99,A,keep,yes,624,"This adjustable kneeling chair is specially designed to relieve spinal strain. Surprisingly comfortable, this chair plac",seo-only,Kneeling chair | Brant Business Interiors,41,"Shop the Kneeling chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-835-9565.",155,,,
kody-mesh-chair-otg13110,9676166496569,Kody mesh chair — OTG13110,Brant Business Interiors,chairs,319.99,A,keep,yes,658,"Kody | High back synchro-tilter     Perfectly suited for any workspace, Kody combines sleek aesthetics with exceptional ",seo-only,Kody mesh chair | Brant Business Interiors,42,"Shop the Kody mesh chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-835-9...",155,,,
kylie-multi-purpose-stacking-chair-cadet-otg11355c,9782665183545,Kylie | multi-purpose stacking chair - cadet — OTG11355C,Brant Business Interiors,chairs,159.99,A,keep,yes,611,OTG11355C     Lightweight multi-purpose stacking chairs.   Durable and easy to clean reinforced polypropylene.   Stackab,seo-only,Kylie | multi-purpose stacking ch | Brant Business Interiors,60,"Shop the Kylie | multi-purpose stacking chair - cadet at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OE...",155,,,
marlee-midback-chair-bonded-leather-mvl11722,9816455512377,Marlee midback chair bonded leather — MVL11722,Brant Business Interiors,chairs,399.99,A,keep,yes,973,MVL11722       Marlee | Medium Back Synchro-Tilter     Discover the perfect blend of comfort and practicality with our f,seo-only,Marlee midback chair bonded leath | Brant Business Interiors,60,"Shop the Marlee midback chair bonded leather at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligib...",155,,,
mobile-folding-chair-storage-cart-3,9097354182969,Mobile folding chair storage cart,Brant Business Interiors,chairs,298.71,A,keep,yes,1021,Convenient storage and transport of Toughlite folding chairs Heavy duty locking castors. Maximum capacity: 32 TLT-FC6 ch,seo-only,Mobile folding chair storage cart | Brant Business Interiors,60,"Shop the Mobile folding chair storage cart at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible...",155,,,
mvl11860-stradic-mesh-back-tilter,9712844013881,MVL11860 stradic | mesh back tilter,Brant Business Interiors,chairs,349.99,A,keep,yes,367,Stradic | Mesh Back Tilter     Tilter mechanism   Upright tilt-lock   Air-flow mesh back   Tilt-tension adjustment   Uni,seo-only,MVL11860 stradic | mesh back tilt | Brant Business Interiors,60,"Shop the MVL11860 stradic | mesh back tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligib...",155,,,
mvl3101-avro-mesh-back-synchro-tilter-chair,9766187139385,MVL3101 avro mesh back synchro-tilter chair,Brant Business Interiors,chairs,469.99,A,keep,yes,529,MVL3101   Avro | Upholstered Seat & Mesh Back Synchro-Tilter     Synchro-tilt mechanism   Air-flow back available in thr,seo-only,MVL3101 avro mesh back synchro-ti | Brant Business Interiors,60,"Shop the MVL3101 avro mesh back synchro-tilter chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OEC...",155,,,
mvl3103-avro-upholstered-seat-mesh-back-multi-tilter,9965370048825,MVL3103 avro | upholstered seat & mesh back multi-tilter,Brant Business Interiors,chairs,499.99,A,keep,yes,428,MVL3103       Avro | Upholstered Seat & Mesh Back Multi-Tilter       Multi-tilt mechanism   Air-flow mesh back available,seo-only,MVL3103 avro | upholstered seat & | Brant Business Interiors,60,"Shop the MVL3103 avro | upholstered seat & mesh back multi-tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & inst...",155,,,
obusforme-elite-multi-tilter-chair-medium-back,9666748711225,ObusForme Elite multi-tilter medium back chair,ObusForme,chairs,669.99,A,keep,yes,487,"Basics® ObusForme® Elite Multi-Tilter Chairs • This chair is designed to provide optimal ergonomic benefits, making it p",seo-only,ObusForme Elite multi-tilter medi | Brant Business Interiors,60,"Shop the ObusForme Elite multi-tilter medium back chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. ...",155,,,
offices-to-go-chair-2,9103181250873,Offices to Go Chair,Offices to Go,chairs,321.0,A,keep,yes,560,"Category  Reception, Side & Guest Chairs  Manufacturer  Global Upholstery Co., Inc  Manufacturer Ref  OTG11341 WA45 BLK ",seo-only,Offices to Go Chair | Brant Business Interiors,46,"Shop the Offices to Go Chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-8...",155,,,
otg10740-masi-high-back-tilter,9708357452089,OTG10740 masi | high back tilter,Brant Business Interiors,chairs,319.99,A,keep,yes,1145,OTG10740       Masi | High Back Tilter     Transform your office with Masi. This management/boardroom chair features a u,seo-only,OTG10740 masi | high back tilter | Brant Business Interiors,59,"Shop the OTG10740 masi | high back tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible....",155,,,
regalia-task-mesh-chair-otg10892,9706986733881,Regalia task mesh chair — OTG10892,Brant Business Interiors,chairs,369.99,A,keep,yes,553,Medium Back Multi Function. Pneumatic seat height adjustment. Height adjustable “T” style arms with self-skinned urethan,seo-only,Regalia task mesh chair | Brant Business Interiors,50,"Shop the Regalia task mesh chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-8...",155,,,
stacking-chair-duet-glb6621,9667770679609,Stacking chair duet — GLB6621,Brant Business Interiors,chairs,169.99,A,keep,yes,568,Frame is made from durable solid steel rod available in chrome only.   Polypropylene seat and backs with fiberglass rein,seo-only,Stacking chair duet | Brant Business Interiors,46,"Shop the Stacking chair duet at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-8...",155,,,
the-erin-armless-chair-wood-legs-gc36530,9729480393017,"The erin armless chair, wood legs (gc36530) — GC36530",Brant Business Interiors,chairs,899.99,A,keep,yes,376,"Erin™         From boutique hotels to spa retreats, the rich experiences that designers create for the hospitality indus",seo-only,"The erin armless chair, wood legs | Brant Business Interiors",60,"Shop the The erin armless chair, wood legs (gc36530) at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OEC...",155,,,
yoho-medium-back-task-chair-mvl2778,9778292195641,Yoho | medium back task chair — MVL2778,Brant Business Interiors,chairs,369.99,A,keep,yes,721,MVL2778   Yoho | Medium Back Task Chair     Canadian made task chairs   Thick cushion compound-curved back offers great ,seo-only,Yoho | medium back task chair | Brant Business Interiors,56,"Shop the Yoho | medium back task chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Ca...",155,,,
desk-shell-5-sizes,9757722313017,Desk shell (5 sizes) — 5 sizes,Brant Business Interiors,desks,429.99,A,keep,yes,557,"Simple and modular components combining classic design, quality and value to support a wide range of workspace applicati",seo-only,Desk shell (5 sizes) — 5 sizes | Brant Business Interiors,57,The Desk shell (5 sizes) — 5 sizes from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a quote:...,155,,,
desk-single-pedestal,9455188476217,Desk single pedestal,Brant Business Interiors,desks,699.99,A,keep,yes,514,"NEWLAND | SINGLE PEDESTAL DESK       Newland - simple and modular components combining classic design, quality and value",seo-only,Desk single pedestal | Brant Business Interiors,47,The Desk single pedestal from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a quote: 1-800-835...,155,,,
desk-single-pedestal-1,9455190606137,Newland | double pedestal desk,Offices to Go,desks,949.99,A,keep,yes,455,"NEWLAND | DOUBLE PEDESTAL DESK       Newland - simple and modular components combining classic design, quality and value",seo-only,Newland | double pedestal desk | Brant Business Interiors,57,The Newland | double pedestal desk from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a quote:...,155,,,
electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,9103473934649,Electric dual monitor height adjustable standing desk workstation — DC450,Brant Business Interiors,desks,749.99,A,keep,yes,1254,multipurpose desktop riser - Built to fit your needs and keep your equipment safe and organized   Allows a maximum load ,seo-only,Electric dual monitor height adju | Brant Business Interiors,60,The Electric dual monitor height adjustable standing desk workstation from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-...,155,,,
innovations-suite,9103181742393,Innovations suite,Brant Business Interiors,desks,4175.0,A,keep,yes,462,Description     Heavy Duty 3-stage steel frame design   Actuator system with synchronized motor driving each leg   Anti-,seo-only,Innovations suite | Brant Business Interiors,44,The Innovations suite from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a quote: 1-800-835-9565.,155,,,
innovations-u-shape-suite,9839234384185,Innovations u-shape suite,Brant Business Interiors,desks,3299.99,A,keep,yes,382,Includes   INV-B7248CMB Corner Module Desk   INV-2436RSBR INV-2472SH   INV-FPUF Return Shell/Bridge Credenza Shell Frees,seo-only,Innovations u-shape suite | Brant Business Interiors,52,The Innovations u-shape suite from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a quote: 1-80...,155,,,
l-shape-desk-set-72x72,9893782552889,"L-shape desk set 72""x72"" bbf/ff innovations — 72""x72""",Brant Business Interiors,desks,1499.99,A,keep,yes,1030,"innovations   Size: 72"" x 72""       Features     Construction     Tops and Gables are 1"" thick.   Modesty Panels are 3/4",seo-only,"L-shape desk set 72""x72"" bbf/ff i | Brant Business Interiors",60,"The L-shape desk set 72""x72"" bbf/ff innovations — 72""x72"" from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible sup...",155,,,
offices-to-go-newland-u-shaped-suites-nlp406,9855852380473,Offices to Go ® newland™ u-shaped suites — NLP406,Offices to Go,desks,2369.99,A,keep,yes,536,Offices to Go® Newland™ U-Shaped Suites with Height Adjustable Desk Features L-shaped height adjustable table with quick,seo-only,Offices to Go ® newland™ u-shaped | Brant Business Interiors,60,The Offices to Go ® newland™ u-shaped suites from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Reques...,155,,,
sit-stand-adjustable-desk-riser-32-wide,9667819798841,"Sit stand adjustable desk riser 32"" wide — 32""",Brant Business Interiors,desks,399.99,A,keep,yes,411,"EVR 20% greater Enhanced Vertical Range - rises up to 16.7” and lowers down to 4.75”, to optimize the ergonomic work pos",seo-only,Sit stand adjustable desk riser 3 | Brant Business Interiors,60,"The Sit stand adjustable desk riser 32"" wide — 32"" from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. ...",155,,,
sit-stand-fellowes-lotus-dual-arm-not-included,9667821994297,Sit stand fellowes lotus (dual arm not included),Brant Business Interiors,desks,672.99,A,keep,yes,657,The Lotus™ Sit-Stand Workstation makes it effortless to add movement to your workday for improved wellness   Patent-pend,seo-only,Sit stand fellowes lotus (dual ar | Brant Business Interiors,60,The Sit stand fellowes lotus (dual arm not included) from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier...,155,,,
u-shaped-suite-with-rectangular-island,9726648353081,"""u"" shaped suite with rectangular island — NLP324",Brant Business Interiors,desks,1956.67,A,keep,yes,669,"NLP121 ""U"" SHAPED SUITE WITH RECTANGULAR ISLAND - 72""W X 102""D Simple and modular components combining classic design, q",seo-only,"""u"" shaped suite with rectangular | Brant Business Interiors",60,"The ""u"" shaped suite with rectangular island from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Reques...",155,,,
2-drawer-legal-width-vertical-file,9727968149817,2 drawer legal width vertical file — 2 drawer,Brant Business Interiors,storage,329.99,A,keep,yes,454,"metal filing cabinet   2 drawer -  legal width vertical file     depth 25""   ball bearing suspension for easy opening/cl",seo-only,2 drawer legal width vertical fil | Brant Business Interiors,60,Shop the 2 drawer legal width vertical file — 2 drawer at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligibl...,155,,,
bookcase-1-shelf-32-wide-x-72-high,9099312267577,"Bookcase - 1"" shelf 32"" wide x 72"" high — 72""",Brant Business Interiors,storage,380.54,A,keep,yes,542,Bookcase              Attractively designed well-suited book storage solution   An excellent choice for your office   Th,seo-only,"Bookcase - 1"" shelf 32"" wide x 72 | Brant Business Interiors",60,"Shop the Bookcase - 1"" shelf 32"" wide x 72"" high — 72"" at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligibl...",155,,,
kensington-ac12-security-charging-cabinet,9827425812793,Kensington AC12 security charging cabinet,Brant Business Interiors,storage,1725.89,A,keep,yes,341,"Store, charge and secure devices overnight. Features slide-out drawers for easy access. AC power strip accommodates each",seo-only,Kensington AC12 security charging | Brant Business Interiors,60,Shop the Kensington AC12 security charging cabinet at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. C...,155,,,
large-fire-water-safe-13-x-16-x-19-black-2,9098317070649,"Large fire/water safe 13"" x 16"" x 19"" - black — 13"" x 16"" x 19""",Brant Business Interiors,storage,369.89,A,keep,yes,1440,Category  Safes  Manufacturer  Sentry Group  Manufacturer Ref  SFW082DTB  Brand  Sentry Safe  Item Code : SENSFW082DTB  ,seo-only,"Large fire/water safe 13"" x 16"" x | Brant Business Interiors",60,"Shop the Large fire/water safe 13"" x 16"" x 19"" - black — 13"" x 16"" x 19"" at Brant Business Interiors — commercial-grade filing & storage for Ontario off...",155,,,
newland-16w-box-box-file-mobile-pedestal-nlmp23bbf,9950669635897,"Newland | 16""w box/box/file mobile pedestal — NLMP23BBF",Offices to Go,storage,589.99,A,keep,yes,990,"NLMP23BBF       Newland | 16""W Box/Box/File Mobile Pedestal     Newland - simple and modular components combining classi",seo-only,"Newland | 16""w box/box/file mobil | Brant Business Interiors",60,"Shop the Newland | 16""w box/box/file mobile pedestal at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible....",155,,,
pedestal-file-file-with-or-without-wheels,9727990038841,Pedestal - file/file (with or without wheels),Brant Business Interiors,storage,419.99,A,keep,yes,567,To be used under a worksurface.   Maybe be used in worksurface supporting applications   Keylock included with removable,seo-only,Pedestal - file/file (with or wit | Brant Business Interiors,60,Shop the Pedestal - file/file (with or without wheels) at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligibl...,155,,,
sentry-safe-security-safe-with-electronic-lock-4,9103335326009,Sentry safe security safe with electronic lock,Brant Business Interiors,storage,359.99,A,keep,yes,834,Category  Safes  Manufacturer  Sentry Group  Manufacturer Ref  X125  Brand  Sentry Safe  Item Code:  SENX125    Offers c,seo-only,Sentry safe security safe with el | Brant Business Interiors,60,Shop the Sentry safe security safe with electronic lock at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligib...,155,,,
folding-table-24-x-48-1,9103177056569,"Folding table — 24"" x 48""",Brant Business Interiors,tables,125.29,A,keep,yes,561,Specifications      UNSPSC Code : 56101519    Application/usage : Indoor    Assembly Required : No    Base Included : Ye,seo-only,"Folding table — 24"" x 48"" | Brant Business Interiors",52,"The Folding table — 24"" x 48"" available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-83...",155,,,
folding-table-36-bt36-resin,9690428637497,"Folding table 36"" BT36 resin — 36""",Brant Business Interiors,tables,149.99,A,keep,yes,317,FEATURES SPECS 36” Square Resin Table • Durable construction • Light weight sleek design • Powder coated tubular steel f,seo-only,"Folding table 36"" BT36 resin — 36 | Brant Business Interiors",60,"The Folding table 36"" BT36 resin — 36"" available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call...",155,,,
freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2,9674653499705,"Freefit benching height adjustable 176""w x 62.5""d (ffhab506) — FFHAB506",Brant Business Interiors,tables,13333.0,A,keep,yes,485,"FreeFit height adjustable tables support healthier spaces. Sit, stand and move through your day with ease and comfort. T",seo-only,Freefit benching height adjustabl | Brant Business Interiors,60,"The Freefit benching height adjustable 176""w x 62.5""d (ffhab506) available at Brant Business Interiors. Conference & training tables for Ontario institu...",155,,,
hdl-5-resin-folding-table-granite-rectangle-dove-white-pebble-top-powder-coated-base-60-table-top-length-x-30-table-top-width-29-height-1,9103177744697,"Hdl 5' resin folding table - granite rectangle, dove white pebble top - powder coated base - 60"" table top length x 30"" table top width - 29"" height — 29""",Brant Business Interiors,tables,143.87,A,keep,yes,680,"Weatherproof design allows safe use both indoors and outdoors   High-impact, polyethylene top resists scratches to maint",seo-only,Hdl 5' resin folding table - gran | Brant Business Interiors,60,"The Hdl 5' resin folding table - granite rectangle, dove white pebble top - powder coated base - 60"" table top length x 30"" table top width - 29"" height...",155,,,
management-u-shaped-suite-with-3-stage-height-adjustable-table-nlp410,9900174475577,"Management ""u"" shaped suite with 3-stage height adjustable table — NLP410",Brant Business Interiors,tables,2769.99,A,keep,yes,1396,"NLP410       Newland | Management ""U"" Shaped Suite with 3-Stage Height Adjustable Table     Newland - simple and modular",seo-only,"Management ""u"" shaped suite with | Brant Business Interiors",59,"The Management ""u"" shaped suite with 3-stage height adjustable table available at Brant Business Interiors. Conference & training tables for Ontario ins...",155,,,
offices-to-go-ionic-table-36-x-36-x-29-material-metal-base-finish-absolute-acajou-black-base-sandtex-1,9103429927225,"Offices to Go Ionic table - 36"" x 36"" x 29"" - material: metal base - finish: absolute acajou, black base, sandtex — 36"" x 36"" x 29""",Offices to Go,tables,379.99,A,keep,yes,489,"Category  Cafeteria & Breakroom Tables  Manufacturer  Global Upholstery Co., Inc  Manufacturer Ref  ML36RX ACJ BK  Brand",seo-only,"Offices to Go Ionic table - 36"" x | Brant Business Interiors",60,"The Offices to Go Ionic table - 36"" x 36"" x 29"" - material: metal base - finish: absolute acajou, black base, sandtex — 36"" x 36"" x 29"" available at Bra...",155,,,
