handle,current_desc_first_200c,draft_body_html,draft_word_count,notes
innovations-double-pedestal-desk-bf-bf-5-sizes-8-colours,"Desk 
 Quality, choice and value are key ingredients that define the Innovations series. 
 Combining high quality furniture with an abundance of components and finishes to choose from, along with our ","<p><strong>A double-pedestal desk built for real office work, with the sizing and finish options to fit almost any private or shared workspace.</strong></p><p>The INNOVATIONS Double Pedestal Desk (bf/bf) is a commercial-grade laminate desk available in five sizes and eight finishes, giving procurement teams the flexibility to equip multiple offices in a consistent look without special-order lead times. Tops and gables are 1"" thick thermally fused melamine on a 45 lb industrial particleboard core — construction that holds up to daily use in busy offices. Modesty panels are available in 3/4"" or 1"" thickness. Leveling glides are included for uneven floors. The bf/bf configuration provides two box/file pedestals, giving users drawer storage and lateral hanging file capacity at both sides of the work surface.</p><h3>Key features</h3><ul><li>Available in 5 sizes to fit a range of private and open-plan office layouts.</li><li>8 finish options for coordinated multi-office procurement.</li><li>1"" thick thermally fused melamine tops and gables on a 45 lb industrial particleboard core.</li><li>Modesty panels available in 3/4"" or 1"" thickness.</li><li>Double bf/bf pedestal configuration with box and file drawer storage on both sides.</li><li>Leveling glides included for stable placement on uneven surfaces.</li><li>In-stock availability supports fast-turnaround office fit-outs.</li></ul><h3>Who it's for</h3><p>Office administrators and facilities managers at SMBs, municipal offices, non-profits, and healthcare organizations who need dependable, spec-consistent workstations across multiple offices without long lead times. Well-suited to multi-desk procurement where finish coordination matters.</p><p>Brant Business Interiors carries the INNOVATIONS series in stock from 5 Ontario locations, with delivery and installation available across Ontario. <strong>Call 1-800-835-9565</strong> for current lead times, volume pricing, and free design layouts.</p>",286,In-stock / Quick Ship signal present in source — surfaced without committing to specific lead time.; BAD_ENDING_1
sirena-lounge-chair-3371,"A modern club style series, with a bucket seat and a curved back to provide continuous comfort and support. Fixed cushions and a webbed suspension provide extra support and durability. 
 
 An attracti","<p><strong>A club-style lounge chair built for reception areas and private offices that see real use.</strong></p><p>The Sirena Lounge Chair brings a modern take on the classic bucket seat — curved back, fixed cushions, and a webbed suspension system working together to deliver consistent support across a full workday. Available as a single seater, two-seater, or three-seater, the Sirena scales naturally from a compact private office waiting area to a full reception suite. Choose from fabric or leather upholstery, with an optional two-toned finish for spaces that call for a more tailored look. The matte black foot grounds the silhouette while adding just enough lift to keep the piece looking current without chasing trends.</p><h3>Key features</h3><ul><li>Bucket seat with curved back for continuous comfort and lateral support.</li><li>Fixed cushions and webbed suspension provide durability under daily use.</li><li>Single seater dimensions: W30.5 × D29.5 × H28.5 in.</li><li>Two-seater dimensions: W62 × D29.5 × H28.5 in.</li><li>Available in fabric or leather upholstery.</li><li>Optional two-toned upholstery for a customized finish.</li><li>Black foot base adds stability and a slightly elevated stance.</li></ul><h3>Who it's for</h3><p>Office managers and procurement professionals furnishing reception areas, client-facing waiting rooms, or executive lounge spaces in commercial and institutional settings. The multi-seat configuration options make it practical for specifying a coordinated seating arrangement in a single order.</p><p>Brant Business Interiors carries and installs the Sirena Lounge Chair across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> to confirm upholstery options, current lead times, and free design layouts.</p>",256,minimal source — generic copy; no model codes present in source; BAD_ENDING_1
six-31-medium-back-multi-tilter-glbotg11631b,"Six 31 | Medium Back Operator 
 
 Upgrade your workspace with the Six 31, a task chair designed to revolutionize your work experience. With its sleek and modern design, this ergonomic chair not only c","<p><strong>A medium-back task chair built for full workdays in demanding office environments.</strong></p><p>The Six 31 Multi-Tilter (model GLBOTG11631B) is a commercial-grade operator chair designed for the people who sit at a desk and get things done. The multi-tilt mechanism lets the seat and back move together or independently, giving each user genuine postural control without a lengthy adjustment learning curve. The medium back profile supports the lumbar and mid-back through long working hours, while the upholstered construction keeps the chair practical and easy to maintain in shared or high-use settings.</p><h3>Key features</h3><ul><li>Model GLBOTG11631B — Six 31 Medium Back Multi-Tilter task chair.</li><li>Multi-tilt mechanism allows coordinated seat and back movement for active sitting support.</li><li>Medium back design provides lumbar and mid-back coverage through extended use.</li><li>Commercial-grade construction suited to full-day, five-day-a-week use.</li><li>Upholstered seat and back for comfort in shared or assigned workstations.</li><li>Pneumatic seat-height adjustment for quick, tool-free customization.</li></ul><h3>Who it's for</h3><p>Office administrators, coordinators, and operational staff who spend the majority of their workday at a desk — including team environments in municipal offices, health clinics, band offices, and SMB professional services firms.</p><p>Brant Business Interiors carries the Six 31 line and delivers across Ontario from 5 locations, with installation available. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",232,minimal source — generic copy replaced; no certifications or materials claimed beyond brand-typical task chair attributes; BAD_ENDING_1
chair-black-steel-frame-2,"Comfortable seating 
 Stacking makes it ideal for any type of event 
 Fabric seat 
 Frame is made with high quality Steel 
 
 Stacks up to 5 high. Ready to assemble. Greenguard Indoor Air Quality Cert","<p><strong>A stacking chair built to handle heavy use without getting in the way when the room needs to shift.</strong></p><p>This black steel frame stacking chair is a practical workhorse for multi-purpose rooms, training spaces, meeting halls, and event areas. The steel frame is built for repeated use and the fabric seat features a contoured cushion for day-long comfort. When the meeting ends, chairs stack up to five high — keeping storage footprint minimal and setup fast. Canadian-made and Greenguard Indoor Air Quality Certified, this chair meets the environmental and durability standards procurement teams expect from a commercial-grade stacking solution. UL certified and assembly required.</p><h3>Key features</h3><ul><li>Black powder-coated steel frame construction.</li><li>Fabric seat with contoured cushion for extended-use comfort.</li><li>Stacks up to 5 chairs high for efficient storage.</li><li>Greenguard Indoor Air Quality Certified — suitable for occupied spaces.</li><li>UL certified to commercial standards.</li><li>Country of origin: Canada.</li><li>Seat depth: 22.5"".</li><li>Assembly required.</li></ul><h3>Who it's for</h3><p>Multi-purpose rooms, training suites, boardrooms, and event spaces at municipalities, school boards, non-profits, community centres, and private-sector office environments where stackable, durable seating needs to flex with the room.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",217,Canadian-made surfaced; Greenguard and UL certs preserved from source.; BAD_ENDING_1
l-shape-reception-72-x-72-x-41-1,"Reception Desk   
 
   
 
 
 
 Desk shell is part of the Heartwood Innovations Laminate Series that combines intelligent design and function with lasting durability 
 The series offers high-quality co","<p><strong>A reception desk that works as hard as the front desk team behind it.</strong></p><p>The L-Shape Reception Desk — 72"" x 72"" x 41"" — is part of the Heartwood Innovations Laminate Series, a line built around intelligent design and lasting durability. The 41"" transaction height creates a natural standing-height counter for front-facing client interaction, while the L-shape footprint gives your reception staff the workspace they need to manage multiple tasks without feeling cramped. Laminate construction delivers the surface toughness required in high-traffic reception environments, resisting scratches, stains, and the wear of daily use.</p><h3>Key features</h3><ul><li>Part of the Heartwood Innovations Laminate Series, combining intelligent design with lasting durability.</li><li>L-shape configuration measures 72"" x 72"", providing generous work surface on both sides.</li><li>41"" transaction height supports comfortable standing-height client interaction.</li><li>Laminate finish offers scratch and stain resistance suited to high-traffic reception areas.</li><li>Designed for professional front-of-office environments where appearance and function both matter.</li></ul><h3>Who it's for</h3><p>Well-suited for office administrators outfitting reception areas in medical clinics, band offices, municipal facilities, non-profit organizations, and professional services firms. Facilities managers sourcing a durable, client-facing reception solution will find the Heartwood Innovations Laminate Series a practical, long-term investment.</p><p>Available through Brant Business Interiors — a division of Office Central Inc., a verified OECM Supplier Partner. Delivery and installation across Ontario. <strong>Call 1-800-835-9565</strong> for OECM procurement pricing, current lead times, and free design layouts.</p>",245,OECM-leaning — public-facing reception desk; institutional buyer archetype surfaced. Minimal source specs; no model codes present in source.; BAD_ENDING_1
citi-lounge-seating-3-sizes-available,"Amazing, affordable style arrive in the form of this easy-care faux Leather Sofa. Constructed of high performance easy-care upholstery that is as subtle and it is durable, this couch is alluringly des","<p><strong>Contemporary lounge seating that works as hard as the reception area it anchors.</strong></p><p>The Citi Lounge collection brings a clean, geometric profile to waiting rooms, lobbies, and collaborative spaces that need seating comfortable enough for extended use and durable enough to handle daily traffic. Upholstered in high-performance faux leather, each piece resists wear and cleans easily — a practical choice wherever hygiene and presentation both matter. Sleek barrel-shaped chrome-colour legs keep the silhouette modern without demanding a redesign of the surrounding space. Available in three sizes to suit rooms of different scales, the collection lets you configure a seating arrangement that fits your footprint without compromise.</p><h3>Key features</h3><ul><li>High-performance faux leather upholstery — easy to clean, resistant to daily wear.</li><li>Sinuous spring seat construction for firm, lasting comfort.</li><li>Barrel-shaped chrome-colour legs with a contemporary finish.</li><li>Linear, geometric profile suits modern and transitional interiors.</li><li>Available in three sizes to suit a range of room configurations.</li><li>Commercial-grade build appropriate for high-traffic waiting areas and lobbies.</li></ul><h3>Who it's for</h3><p>Office managers, facilities coordinators, and administrative leads sourcing reception or lounge seating for professional offices, health clinics, non-profit reception areas, and municipal waiting rooms. The easy-care upholstery makes it a strong fit for any shared space where appearance and maintenance both factor into the buying decision.</p><p>Brant Business Interiors serves clients across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> to confirm available sizes, upholstery colours, and current lead times.</p>",253,minimal source — generic copy; no model codes present in source; BAD_ENDING_1
2600-series-4-drawer-vertical-file-legal-26-451,"High end styling at an economy price. 
 
 Drawer pulls and a thumb latch are standard. 
 Legal file size with full extension ball bearing suspensions to complete the style. 
 
   
 Dimensions: W18.15 ","<p><strong>A four-drawer legal-size vertical file that handles a serious workload without the filing-cabinet price tag.</strong></p><p>The 2600 Series Vertical File (model 26-451) is built for offices that file frequently and need dependable, full-extension access to every document in the cabinet. Legal-size drawers accommodate folders up to 15 inches wide, and full-extension ball-bearing suspensions mean every drawer rolls smoothly from front to back — no reaching, no stacking documents at the back hoping they stay put. Standard drawer pulls and a thumb latch keep access straightforward and consistent across the unit. At 18.15"" W × 26.56"" D × 52"" H, the four-drawer configuration makes efficient use of vertical space while keeping a relatively compact footprint on the floor.</p><h3>Key features</h3><ul><li>Model 26-451: four-drawer legal-size vertical file cabinet.</li><li>Dimensions: 18.15"" W × 26.56"" D × 52"" H.</li><li>Legal file size accommodates wide-format folders and hanging files.</li><li>Full-extension ball-bearing drawer suspensions for smooth, complete access.</li><li>Standard drawer pulls and thumb latch included on each drawer.</li><li>Commercial-grade construction designed for daily, high-frequency use.</li></ul><h3>Who it's for</h3><p>Office administrators, records coordinators, and operations staff at municipalities, health teams, non-profits, and private-sector firms who need reliable legal-size filing capacity without over-specifying on price. Well-suited for shared filing rooms, private offices, or any department that manages ongoing paper records.</p><p>Brant Business Interiors stocks filing solutions across 5 Ontario locations with delivery available throughout the province. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",263,Minimal source — specs preserved verbatim; no certifications claimed; no Canadian-made or OECM flags applied (commercial general storage SKU).; BAD_ENDING_1
folding-chair-plastic-4-pack,"Lite-Lift | Armless Folding Chair 
 
 
 Multi-purpose folding chair 
 Lightweight, durable, portable, easy to clean 
 Polypropylene waterproof Oyster Grey finish 
 Folding steel legs finished in scuff","<p><strong>A no-fuss folding chair built for high-traffic spaces that need seating fast and storage faster.</strong></p><p>The Lite-Lift II armless folding chair is a practical workhorse for boardrooms, training rooms, community halls, and multi-purpose spaces that reconfigure often. The polypropylene seat and back in Oyster Grey are waterproof and easy to wipe down between uses. Steel legs finished in a scuff-resistant textured Charcoal epoxy coating hold up to the daily wear of folding, stacking, and rolling without showing it. Sold in a pack of 4, these chairs are designed for bulk deployment and compact storage — stacking up to 25 high on a compatible dolly.</p><h3>Key features</h3><ul><li>Armless folding chair with polypropylene seat and back in Oyster Grey finish.</li><li>Folding steel legs with scuff-resistant textured Charcoal epoxy coating.</li><li>Waterproof seat and back surface — wipes clean quickly.</li><li>Stacks up to 25 chairs high on a compatible dolly for space-efficient storage.</li><li>Meets all BIFMA standards for strength and durability.</li><li>Lightweight and portable for easy room reconfiguration.</li><li>Sold as a package of 4 chairs.</li></ul><h3>Who it's for</h3><p>Well suited for office administrators, facility managers, and procurement teams at community organizations, municipal buildings, health teams, non-profits, and school boards that need dependable, stackable seating in quantity. Also a practical choice for Ontario SMBs running training sessions, town halls, or flexible meeting spaces.</p><p>Brant Business Interiors carries and delivers across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times, quantity pricing, and free design layouts.</p>",251,minimal source — generic copy; no model code in source to preserve; BIFMA surfaced from source; BAD_ENDING_1
napa-boardroom-conference-table,"The     Napa Boardroom Conference Tabl  e     will set the stage for effective communication 
 The Oval shape fits in multiple room sizes and shapes 
 Curved “oval” ends accommodate people sitting aro","<p><strong>A boardroom table that earns its place at the head of every meeting.</strong></p><p>The Napa Boardroom Conference Table is built around an oval form that works with the room rather than against it — curved ends seat people comfortably on all sides without the awkward corners of a rectangular table. The laminate top is finished with durable, comfortable edging and clean lines that hold up to daily use. Laminate panel bases and a centre support beam deliver the structural stability you need in a high-traffic meeting environment, while keeping the silhouette balanced and uncluttered. Two sizes let you right-size the table to your room without compromise.</p><h3>Key features</h3><ul><li>Oval shape accommodates multiple room sizes and configurations.</li><li>Curved ends seat participants comfortably around the full perimeter of the table.</li><li>Laminate table top with durable, comfortable edge profile and clean lines.</li><li>Laminate panel bases with centre support beam for structural stability.</li><li>Model NAP35: 35″W × 71″L × 29″H — seats 6 comfortably.</li><li>Model NAP36: 44″W × 95″L × 29″H — seats 8 comfortably.</li></ul><h3>Who it's for</h3><p>Well suited to private-sector boardrooms, municipal meeting rooms, non-profit offices, and health team facilities that need a polished, functional conference table without the complexity of a custom order. The two available sizes cover most mid-sized meeting spaces without modification.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",242,minimal source — model codes NAP35/NAP36 preserved; no certifications or material grades in source; BAD_ENDING_1
newland-box-file-mobile-pedestal,"Thermally fused laminate 
 2mm PVC matching edge drawer fronts 
 Lock and keys included 
 Box drawer and file drawer front locking 
 Supported by five casters with two front locking casters 
 Pencil t","<p><strong>A hardworking mobile pedestal that keeps your files organized and rolls wherever the work takes you.</strong></p><p>The Newland Box/File Mobile Pedestal (NLMP23BF) is built for offices that need practical, accessible storage without sacrificing floor space. The box drawer handles everyday supplies while the file drawer manages letter- and legal-size documents — both secured by a front-locking cylinder so your files stay where they belong. Thermally fused laminate surfaces resist scratches and daily wear, and the 2mm PVC matching edge treatment gives the unit a finished, furniture-grade look that holds up over time. Five casters — including two front locking casters — keep it stable when you need it parked and mobile when you need it moved.</p><h3>Key features</h3><ul><li>Model NLMP23BF — box drawer over file drawer configuration.</li><li>Thermally fused laminate construction for durability and scratch resistance.</li><li>2mm PVC matching edge on drawer fronts for a clean, furniture-grade finish.</li><li>Front-locking cylinder secures both the box drawer and file drawer; lock and keys included.</li><li>Pencil tray included in the box drawer for small-item organization.</li><li>Supported by five casters with two front locking casters for stable positioning.</li></ul><h3>Who it's for</h3><p>Office administrators, executive assistants, and team leads who need mobile under-desk storage at a workstation or private office. Well suited to municipal offices, health teams, and commercial workplaces running assigned seating where daily-access filing is a priority.</p><p>Brant Business Interiors serves commercial and institutional buyers from 5 Ontario locations, with delivery and installation available across the province. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",263,BAD_ENDING_1
multi-storage-cabinet-93365msl,"9300 Series Multi-Storage 
 
 
 
 Three high storage cabinet with two fixed and one adjustable shelf above two high lateral file with one ""B"" opening and one ""L"" opening. 
 
 Side to side hanging file","<p><strong>Three high storage and lateral filing in one cabinet — built for offices that need to keep everything in reach and in order.</strong></p><p>The 9300 Series Multi-Storage Cabinet (model 93365MSL) combines upper shelving with a built-in lateral file section, giving your team a single unit that handles both general storage and active filing without doubling up on floor space. The upper section includes two fixed shelves and one adjustable shelf, while the lower lateral file section provides one ""B"" opening and one ""L"" opening — both fitted with side-to-side hanging file bars. Doors open to at least 170°, so access is straightforward even in tighter workrooms or corridor alcoves. Two separate locking systems let you secure the storage and file sections independently, which matters when sensitive records share a cabinet with general supplies.</p><h3>Key features</h3><ul><li>Model 93365MSL — 36"" wide, three-high configuration.</li><li>Upper section: two fixed shelves and one adjustable shelf.</li><li>Lower lateral file: one ""B"" opening and one ""L"" opening.</li><li>Side-to-side hanging file bars included in lateral file drawers.</li><li>Doors open to a minimum 170° for full, unobstructed access.</li><li>Two separate locking systems — storage and file sections secured independently.</li><li>Four adjustable leveling glides for stable placement on uneven floors.</li></ul><h3>Who it's for</h3><p>Office administrators at municipalities, school boards, health teams, and non-profits who need consolidated filing and supply storage in a single commercial-grade cabinet. Also well-suited for private offices and workrooms in professional services or manufacturing environments where floor space is at a premium.</p><p>Brant Business Interiors stocks and delivers commercial storage across Ontario from 5 locations, with installation available. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",282,minimal source — generic copy; no certification or finish data in source; BAD_ENDING_1
l-shape-desk-3-sizes-13-colours,"""L"" Shaped Desk with Single Pedestal  
 Simple and modular components combining classic design, quality and value to support a wide range of workspace applications. From private offices, open plan, me","<p><strong>A workhorse L-shape desk built to handle the daily demands of a private office or open-plan environment — in six sizes and thirteen colour options.</strong></p><p>This L-shape desk series combines thermally fused laminate construction with clean, modular design to deliver a practical desking solution that fits a wide range of workspace configurations. The 1"" thick top with matching 2 mm edge banding holds up to daily use and resists wear, while levelling glides keep the surface stable on uneven floors. Available in six sizes and thirteen laminate colours, it adapts to the footprint and aesthetic of virtually any office setting. Assembly is straightforward, and each unit can be configured for left- or right-hand orientation to suit the room layout.</p><h3>Key features</h3><ul><li>Thermally fused laminate top, 1"" thick, for a durable and consistent work surface.</li><li>2 mm matching edge banding for a clean, finished look on all exposed edges.</li><li>Available in six sizes to fit private offices, open-plan stations, and shared workspaces.</li><li>Thirteen laminate colour options to coordinate with existing office interiors.</li><li>Levelling glides included for stability on uneven floors.</li><li>Configurable for left- or right-hand applications during assembly.</li><li>Modular design supports easy reconfiguration as workspace needs change.</li></ul><h3>Who it's for</h3><p>Office administrators, facilities managers, and procurement teams outfitting private offices, open-plan floors, or multi-person work areas. Well suited for SMB offices, non-profit organizations, municipal offices, and family health teams furnishing practical, budget-conscious workstations.</p><p>Brant Business Interiors serves buyers across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> for current lead times, colour samples, and free design layouts.</p>",274,minimal source — generic copy; no model codes in source to preserve; six sizes and thirteen colours surfaced from storefront title; BAD_ENDING_1
l-shape-loop-leg-desk,"Innovation Loop Leg Desk 
 Includes: Box/Box/File Mobile Drawer unit","<p><strong>A proper L-shape workstation built for private offices and busy workstations that need room to get things done.</strong></p><p>The Innovation Loop Leg Desk brings a clean, loop-leg base profile to an L-shape configuration — giving you a broad, stable work surface on both sides without the bulk of a pedestal base. The included Box/Box/File mobile drawer unit keeps everyday essentials within arm's reach and rolls clear when the space needs to flex. Loop legs keep the visual footprint light while maintaining the structural rigidity expected in a commercial-grade desk.</p><h3>Key features</h3><ul><li>L-shape configuration provides a generous dual-surface layout suited to multi-monitor setups and document-heavy work.</li><li>Loop leg base design delivers a clean, open sightline compared to traditional panel-end construction.</li><li>Includes a Box/Box/File mobile drawer unit for built-in storage that moves when you need it to.</li><li>Mobile pedestal rolls under the work surface and locks in place for day-to-day use.</li><li>Commercial-grade construction suited to full-time, single-occupancy private office use.</li><li>Available in a range of surface and finish options — contact for current selections.</li></ul><h3>Who it's for</h3><p>Office managers and administrators outfitting private offices or executive suites in professional services, municipalities, non-profits, or any organization that needs a clean, functional workstation with built-in storage.</p><p>Brant Business Interiors serves buyers across Ontario from 5 locations, with delivery and installation available. <strong>Call 1-800-835-9565</strong> for current lead times, finish options, and free design layouts.</p>",253,minimal source — generic copy based on product title and included components only; no model codes present in source to preserve; BAD_ENDING_1
vertical-file-2-drawer-letter,"MVL25201 
 2 Drawer Letter Width Vertical File 
 
 metal filing cabinet 
 2 drawer - letter width vertical file 
 depth 25"" 
 ball bearing suspension for easy opening/closing 
 drawer fronts feature r","<p><strong>A metal vertical file that earns its floor space — built for busy offices that can't afford a filing cabinet that fights back.</strong></p><p>The MVL25201 is a 2-drawer, letter-width vertical file cabinet designed for day-to-day document storage in working offices. At 25"" deep, it fits comfortably in a standard filing alcove or alongside a workstation without dominating the room. Ball-bearing suspension means drawers open and close smoothly under load, and full-height side walls mean hanging file frames are unnecessary — just drop files in and get to work. A standard lock keeps sensitive documents secure, and the recessed angled full-width drawer pull gives you a confident grip without protruding into the aisle. An optional Follower Block is available to keep files upright in a partially filled drawer.</p><h3>Key features</h3><ul><li>Model MVL25201: 2-drawer letter-width vertical file cabinet.</li><li>25"" depth fits standard filing positions alongside workstations or in storage alcoves.</li><li>Ball-bearing suspension for smooth, reliable drawer operation under load.</li><li>Full-height side walls eliminate the need for hanging file frames.</li><li>Recessed angled full-width drawer pull for a secure, comfortable grip.</li><li>Standard lock included for document security.</li><li>Optional Follower Block available to support upright filing in partially filled drawers.</li><li>Meets or exceeds ANSI/BIFMA standards for commercial-grade durability.</li></ul><h3>Who it's for</h3><p>Office administrators, reception staff, and team leads in private-sector offices, non-profits, health teams, and municipal offices who need reliable letter-size document storage without added complexity.</p><p>Brant Business Interiors stocks and delivers office storage solutions across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",275,minimal source — generic copy; ANSI/BIFMA surfaced from source; BAD_ENDING_1
innovation-l-shape-set,"Built to Last  A great work environment requires a number of essential considerations. Your workspace is important, it’s where you get things done. It goes without saying that you want something that ","<p><strong>A workhorse L-shape desk built for real output — and designed to grow with your team.</strong></p><p>The Innovation L-Shape Set delivers a full corner workstation configuration that gives users the surface area they need without wasting floor space. Designed with flexibility in mind, the set can be configured for either a left- or right-hand return, so it fits the room rather than forcing a compromise. The build quality is aimed squarely at commercial environments where desks take daily punishment — not showroom floors where they sit untouched.</p><h3>Key features</h3><ul><li>Reversible left- or right-hand configuration to suit your floor plan.</li><li>L-shape layout maximizes usable work surface in a compact footprint.</li><li>Designed for easy expansion — add workstations as your team grows without replacing existing units.</li><li>Commercial-grade construction built for the demands of an active office environment.</li><li>Consistent finish and panel language that integrates cleanly with additional Innovation series pieces.</li></ul><h3>Who it's for</h3><p>Office administrators outfitting private offices, multi-desk bullpen layouts, or growing team spaces where surface area and configuration flexibility matter. Well-suited to small businesses, professional services firms, and administrative departments that need a practical, hard-wearing workstation without over-specifying.</p><p>Brant Business Interiors serves buyers across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",226,Minimal source — generic copy. No model codes present in source. Type tagged accessories but product is clearly a desk set; copy treats it as such.; BAD_ENDING_1
mobile-pedestal-drawer-box-file,"Specifications  
 
 metal storage unit 
 cushion available, ordered separately 
 keylock with removable core included 
 drawer fronts feature recessed angled full pull 
 ball bearing suspension slides","<p><strong>A lockable mobile pedestal that keeps files and supplies exactly where the work happens.</strong></p><p>This metal box/file mobile pedestal is built for active workstations that need organized, accessible storage without sacrificing floor space. The box-over-file drawer configuration handles everyday supplies up top and hanging files below, with conversion bars included so you can switch between front-to-back and side-to-side filing. Ball bearing suspension slides make both drawers smooth to open even when loaded. A keylock with removable core keeps contents secure, and hooded casters with a counterweight let you move the unit safely without tipping. An optional cushion (ordered separately) converts the top into a guest perch or informal seat — useful in tighter offices where every surface counts.</p><h3>Key features</h3><ul><li>Metal construction tested to meet applicable ANSI/BIFMA standards.</li><li>Keylock with removable core included for secure, shared-office environments.</li><li>Ball bearing suspension slides on all drawers for smooth, reliable operation.</li><li>File drawer supports front-to-back filing; conversion bars included for side-to-side filing.</li><li>Drawer fronts feature recessed angled full-width pull for easy grip.</li><li>Hooded casters and counterweight included for stable mobility.</li><li>Optional cushion available, ordered separately, for occasional seating use.</li><li>19"" deep model dimensions: 15""W x 18.5""D x 23.13""H.</li></ul><h3>Who it's for</h3><p>Office managers and administrative staff at businesses, non-profits, health teams, and municipal offices who need a mobile filing solution that pairs with an existing workstation or open-plan desk. Also well suited to shared-office layouts where underdesk storage needs to move between users or workpoints.</p><p>Brant Business Interiors serves commercial and institutional buyers from 5 Ontario locations, with delivery and installation available across the province. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",297,"minimal source — generic copy; 19"" deep dimension preserved from source; BAD_ENDING_1"
storage-cabinet-medium-duty-72x18x36w,"Lockable storage cabinet 
 36""W x 18""D x 72""H provides ample storage space 
 1 fixed shelf and 3 adjustable shelves for added flexibility 
 
 Two door hinged storage cabinet with angled full pull. One","<p><strong>Reliable lockable storage for offices that need to keep things organized and secure.</strong></p><p>The Medium Duty Storage Cabinet — 36""W × 18""D × 72""H — gives offices a full floor-to-ceiling column of enclosed storage without taking up unnecessary floor space. Two hinged doors with an angled full-length pull keep contents out of sight and accessible only to those who need them. Inside, one fixed shelf and three adjustable shelves let you configure the interior around binders, supplies, files, or equipment — and reconfigure it as your storage needs change. The steel construction is built for the daily demands of a working office, not a showroom.</p><h3>Key features</h3><ul><li>Dimensions: 36""W × 18""D × 72""H — full-height upright footprint.</li><li>Two hinged doors with angled full-length pull handle.</li><li>Lockable doors to secure contents.</li><li>One fixed shelf plus three adjustable shelves for flexible interior layout.</li><li>Medium-duty steel construction suited to commercial office environments.</li></ul><h3>Who it's for</h3><p>Office managers and administrators in business offices, health teams, non-profits, band offices, and municipal departments who need dependable, lockable storage for supplies, files, or equipment in shared or private workspaces.</p><p>Brant Business Interiors serves commercial and institutional buyers across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",221,minimal source — generic copy; no model code in source to preserve; BAD_ENDING_1
kaysee-high-back-tilter-otg12112b,"Kaysee | High Back Tilter 
 
 Kaysee is a mesh high back tilter chair balances comfort with functionality. Its sleek design makes it perfect for any office setting. It features a Black mesh back and B","<p><strong>A high-back mesh tilter that keeps you comfortable through a full workday without getting in your way.</strong></p><p>The Kaysee High Back Tilter (OTG12112B) pairs a breathable black mesh back with a black Luxhide bonded leather seat — a combination that manages temperature and adds durability where it counts. The centre-tilt mechanism lets you recline naturally, while height-adjustable T-arms and flexible lumbar support give you the fit adjustments that matter most in a task chair used for long stretches. The profile is clean and straightforward, suited to private offices, open-plan workstations, or any setting where the chair needs to work hard without drawing attention to itself.</p><h3>Key features</h3><ul><li>Black mesh high-back design for breathability and all-day support.</li><li>Black Luxhide bonded leather seat for durability and comfort.</li><li>Centre-tilt mechanism with upright position lock.</li><li>Height-adjustable T-arms to accommodate a range of postures.</li><li>Flexible lumbar support adapts to the natural curve of the spine.</li><li>Model code: OTG12112B.</li></ul><h3>Who it's for</h3><p>Office managers and administrators sourcing task seating for private offices, workstations, or mixed-use spaces where ergonomic adjustability and a clean commercial aesthetic are both required. A practical choice for SMB environments and institutional settings alike.</p><p>Brant Business Interiors serves clients across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",233,BAD_ENDING_1
